vertices, edges, vCount, eCount, qCount
10, 1, 2, 1, 0
10, 2, 2, 1, 0
10, 3, 3, 2, 0
10, 4, 3, 2, 0
10, 5, 2, 1, 0
10, 6, 4, 3, 2
10, 7, 4, 3, 0
10, 8, 4, 3, 0
10, 9, 3, 2, 0
10, 10, 4, 5, 0
20, 2, 2, 1, 0
20, 4, 4, 3, 0
20, 6, 4, 3, 0
20, 8, 2, 1, 0
20, 10, 6, 5, 0
20, 12, 5, 4, 0
20, 14, 4, 3, 0
20, 16, 8, 7, 0
20, 18, 3, 2, 0
20, 20, 12, 12, 14
30, 3, 2, 1, 0
30, 6, 3, 2, 0
30, 9, 2, 1, 0
30, 12, 6, 6, 4
30, 15, 11, 12, 6
30, 18, 3, 2, 0
30, 21, 3, 2, 0
30, 24, 2, 1, 0
30, 27, 5, 5, 0
30, 30, 2, 1, 0
40, 4, 2, 1, 0
40, 8, 3, 2, 0
40, 12, 5, 4, 0
40, 16, 3, 2, 0
40, 20, 2, 1, 0
40, 24, 4, 3, 0
40, 28, 10, 14, 14
40, 32, 2, 1, 0
40, 36, 11, 11, 4
40, 40, 2, 1, 0
50, 5, 2, 1, 0
50, 10, 2, 1, 0
50, 15, 3, 2, 0
50, 20, 2, 1, 0
50, 25, 2, 1, 0
50, 30, 4, 3, 0
50, 35, 4, 3, 0
50, 40, 7, 6, 2
50, 45, 14, 14, 6
50, 50, 2, 1, 0
60, 6, 2, 1, 0
60, 12, 4, 3, 0
60, 18, 2, 1, 0
60, 24, 2, 1, 0
60, 30, 4, 3, 0
60, 36, 5, 4, 2
60, 42, 10, 9, 10
60, 48, 4, 3, 0
60, 54, 2, 1, 0
60, 60, 6, 6, 2
70, 7, 2, 1, 0
70, 14, 4, 3, 0
70, 21, 3, 2, 0
70, 28, 4, 3, 0
70, 35, 2, 1, 0
70, 42, 4, 3, 2
70, 49, 6, 5, 4
70, 56, 5, 5, 0
70, 63, 22, 24, 24
70, 70, 10, 11, 14
80, 8, 2, 1, 0
80, 16, 2, 1, 0
80, 24, 2, 1, 0
80, 32, 2, 1, 0
80, 40, 2, 1, 0
80, 48, 10, 9, 8
80, 56, 3, 2, 0
80, 64, 2, 1, 0
80, 72, 3, 2, 0
80, 80, 23, 25, 32
90, 9, 2, 1, 0
90, 18, 4, 3, 0
90, 27, 2, 1, 0
90, 36, 2, 1, 0
90, 45, 5, 4, 0
90, 54, 11, 11, 16
90, 63, 3, 2, 0
90, 72, 2, 1, 0
90, 81, 13, 12, 0
90, 90, 39, 45, 56
100, 10, 3, 2, 0
100, 20, 5, 4, 0
100, 30, 2, 1, 0
100, 40, 5, 4, 4
100, 50, 5, 4, 0
100, 60, 4, 3, 0
100, 70, 4, 3, 0
100, 80, 11, 12, 6
100, 90, 32, 37, 44
100, 100, 19, 18, 14
